question_type,question,final_query_used,retries,answer,faithfulness,answer_relevancy,context_precision,context_recall,latency
adversarial,"If a candidate's signature is uploaded in CAPITAL LETTERS, will the application be accepted as long as the file size is under 20kb?","""case sensitivity requirements for electronic signatures in application submissions"" AND ""file size limitations for uploaded documents"" AND ""capital letters acceptance criteria""",2,I cannot determine the answer from the provided context.,0.0,0.0,0.99999999995,0.5,15.643440246582031
adversarial,A candidate does not have a bank account and therefore has no CIBIL score. Does this automatically disqualify them from applying?,A candidate does not have a bank account and therefore has no CIBIL score. Does this automatically disqualify them from applying?,0,"No, it does not automatically disqualify them from applying. According to the context, ""Candidates with no bank account shall not be required to produce the CIBIL status"" and ""CIBIL score requirement is not a pre-condition to apply.""",0.75,0.76486361263863,0.9999999999666667,0.6666666666666666,27.844201803207397
adversarial,"If a Visually Impaired candidate opts to use the services of a scribe for the examination, can they also use the facility of viewing the contents of the test in magnifying font?","""Visually Impaired candidate scribe services AND magnifying font facility examination accommodations""",2,I cannot determine the answer from the provided context.,0.0,0.0,0.9999999999666667,0.5,51.57124876976013
adversarial,Can a candidate belonging to the OBC category who falls under the 'creamy layer' claim OBC reservation benefits?,Can a candidate belonging to the OBC category who falls under the 'creamy layer' claim OBC reservation benefits?,0,I cannot determine the answer from the provided context.,0.25,0.0,0.9999999999666667,1.0,35.33002853393555
adversarial,"If a candidate realizes they made a mistake in their application after clicking the COMPLETE REGISTRATION button, can they edit the form if the deadline has not passed?","""application editing after submission deadline not passed""",2,I cannot determine the answer from the provided context.,0.25,-0.0,0.9999999999666667,1.0,47.916223764419556
not_answerable,What will be the exact date and venue for the Personal Interview for the Officer-Credit post?,Officer-Credit interview schedule date venue location details,2,I cannot determine the answer from the provided context.,0.0,0.0,0.0,0.6,32.32947301864624
not_answerable,How many questions will be asked in the Professional Knowledge section for the Manager-Cyber Security online test?,"""Manager-Cyber Security online test Professional Knowledge section question count""",1,I cannot determine the answer from the provided context.,0.5,0.0,0.0,0.0,43.596994400024414
not_answerable,What is the passing cutoff percentage for the online written examination for General category candidates?,"""General category passing cutoff percentage online written examination""",2,I cannot determine the answer from the provided context.,0.0,0.0,0.0,0.0,64.76708197593689
noisy_query,I am 36 years old and want to apply for Senior Manager IT MMGS-III. do I need a certification and what should my degree be?,I am 36 years old and want to apply for Senior Manager IT MMGS-III. do I need a certification and what should my degree be?,0,"To apply for Senior Manager (IT) MMG Scale-III, you must be between 27 and 38 years old, so your age of 36 meets this requirement. 

For the Senior Manager (IT) MMG Scale-III position, the context does not explicitly mention a certification requirement. 

As for your degree, according to the context, the mandatory requirement is a full-time degree in B.E./B.Tech in Computer Science/Information Technology/ Electronics and Communications, or a full-time M.C.A. from any Institute/College/University recognized/approved by Govt. bodies/AICTE/UGC with a minimum of 60% marks or equivalent grade.",1.0,0.6617374988148237,0.8333333332916666,0.6666666666666666,30.27802324295044
noisy_query,pic dimensions and rules for taking photo with glasses,pic dimensions and rules for taking photo with glasses,0,"For the photo, the dimensions are preferred to be 200 x 230 pixels. As for the rules regarding glasses, it is stated that ""Coloured glasses or sunglasses"" should not be worn, and ""dark glasses"" are also not acceptable. However, there is no explicit mention of clear glasses or prescription glasses being prohibited.",1.0,0.6811780006196866,0.99999999995,1.0,32.32973551750183
noisy_query,what happens if the server crashes and I pay my fee twice for the general category?,what happens if the server crashes and I pay my fee twice for the general category?,0,I cannot determine the answer from the provided context.,1.0,-0.0,0.9999999999,0.6666666666666666,20.074516773223877
